%xcoord,ycoord
684216.812511988,5459182.5000173
684227.125012428,5459141.50003546
684254.624985336,5459096.49995858
684256.816704021,5459092.11652135
684282.124962355,5459041.499964
684307.793235476,5459006.59793046
684319.999998623,5458989.99996415
684354.375011349,5458952.50001545
684377.244316977,5458935.59191108
684433.499995312,5458894.00002474
684458.532517691,5458877.54895779
684512.625008464,5458842.0000124
684544.149793483,5458826.36788196
684588.249946727,5458804.50001784
684634.975897874,5458784.84472894
684653.624945956,5458776.9999965
684729.312445216,5458752.99996641
684729.575292235,5458752.89588973
684791.187470959,5458728.49997311
684819.246690344,5458709.9259767
684853.125019678,5458687.49996821
684894.374979664,5458649.50001749
684896.15084438,5458646.83487561
684935.687451494,5458587.49997717
684945.334218675,5458560.55927588
684952.875010658,5458539.4999502
684987.250028214,5458484.49998354
684993.601947129,5458473.51515743
685025.125041565,5458418.99997358
685051.356125693,5458392.98568435
685062.937508832,5458381.50001401
685104.187501073,5458346.9999562
685129.069119797,5458330.54606279
685135.187523533,5458326.5000403
685166.124975699,5458298.50003287
685187.652117719,5458252.42642351
685190.187509398,5458247.00003013
685207.374958327,5458213.00000661
685234.937461492,5458212.99996623
685258.501181356,5458228.6138984
685265.874980429,5458233.49997042
685296.812481029,5458271.00003887
685317.500042049,5458302.00002596
685320.980079414,5458305.84705013
685351.874962742,5458339.99996543
685379.375017326,5458360.49999506
685395.660238929,5458371.34037354
685420.687541103,5458387.99998932
685458.500037356,5458412.49995581
685481.115539792,5458422.66765004
685496.312488316,5458429.50004185
685541.062448904,5458442.9999873
685568.562506356,5458463.99997146
685569.530097179,5458465.64864946
685592.624970973,5458505.00002833
685616.687473891,5458519.00004088
685643.068374817,5458517.08389702
685664.874951651,5458515.50000331
685723.31246588,5458498.0000196
685740.229595287,5458495.86199188
685802.43748897,5458488.00000531
685833.437459913,5458477.49998901
685837.755535748,5458476.2886907
685881.562539798,5458464.00003113
685919.375012894,5458443.00004632
685926.209412116,5458434.16864605
685953.812468563,5458398.4999989
685998.500035077,5458378.00004129
686004.139095769,5458377.64159897
686053.562544021,5458374.50003713
686094.812520862,5458388.00002069
686101.043252415,5458391.17201951
686129.187526869,5458405.49997293
686173.93745737,5458405.50002538
686196.272586311,5458397.91960852
686215.187447049,5458391.5000098
686280.562520372,5458381.49995223
686294.367092575,5458381.19451927
686394.260760351,5458378.98432423
686438.749999119,5458377.99997945
686494.153037697,5458379.29246244
686594.044222573,5458381.62280418
686693.93553092,5458383.95315708
686717.374956145,5458384.49997395
686793.799070035,5458387.22855663
686893.654180714,5458390.79370869
686913.4374744,5458391.50003775
686993.560433429,5458391.49995934
686999.437480376,5458391.49995372
687068.249947782,5458415.49996902
687087.404608541,5458424.50132643
687112.93750494,5458436.5000151
687167.937497846,5458463.99999118
687176.441331766,5458469.66064198
687209.250028598,5458491.50004419
687253.937521694,5458528.99995279
687255.871435602,5458529.98270683
687288.374956328,5458546.49997549
687329.624959013,5458567.00001633
687341.295459228,5458579.90119707
687363.999992721,5458604.99998711
687377.812446943,5458635.99995746
687375.516868018,5458668.05489502
687374.374969966,5458684.00003107
687360.562463372,5458742.50001343
687350.426786246,5458764.06138925
687333.062509825,5458800.99995185
687314.406392447,5458857.08121677
687312.43744596,5458862.99996544
687291.812468694,5458903.9999633
687284.937519784,5458938.49996651
687291.050981002,5458949.52646754
687302.124987458,5458969.50003014
687336.499960803,5458990.00000502
687370.874993558,5459000.50002709
687371.94551064,5459000.81088409
687405.312459107,5459010.49998896
687436.249968186,5459024.49999496
687467.333504398,5459021.62286994
687474.062465945,5459021.00003006
687494.749977118,5459010.50000992
687518.81251809,5458996.99999274
687532.562474326,5458976.49999727
687543.76481928,5458962.8128013
687549.750014515,5458955.49999658
687604.812514764,5458942.00004344
687637.408863631,5458933.14961749
687656.37501227,5458928.0000057
687687.375022839,5458914.50001888
687718.31249065,5458907.4999698
687731.444164903,5458900.81476008
687738.937461721,5458896.9999938
687756.12503216,5458883.50003575
687776.750010261,5458873.00004897
687797.437525035,5458852.50003606
687811.985900865,5458842.97744947
687818.062471574,5458839.0000515
687838.687530629,5458821.50000153
687859.312451847,5458800.99996317
687875.569701475,5458768.28847228
687879.937483944,5458759.49997668
687866.187469307,5458725.50000643
687886.812482618,5458687.49996664
687890.29509622,5458677.91887746
687900.625034069,5458649.49995464
687934.999983583,5458618.50002863
687946.629106242,5458598.20191906
687948.75000738,5458594.49998045
687965.9374641,5458553.50000149
687965.93753022,5458511.99996047
687964.734781485,5458502.37801727
687962.500010502,5458484.49996105
687935.000001779,5458473.99998135
687921.249999189,5458453.50003919
687913.293402857,5458426.88144466
687910.937539427,5458418.99996855
687910.937503301,5458384.50000497
687914.375037813,5458343.50002991
687915.443977662,5458327.48543875
687917.81254215,5458292.00002418
687917.81244493,5458257.49995562
687909.262061433,5458228.89489733
687907.500007118,5458223.00000074
687876.499954818,5458202.50001724
687855.874993901,5458185.00000604
687831.81250438,5458182.00002253
687827.374148951,5458184.90512672
687811.187543564,5458195.49998962
687807.750010624,5458240.49998031
687787.125037178,5458243.50001841
687774.897226565,5458235.52051752
687766.437523413,5458229.99997113
687749.250001069,5458192.00000999
687732.062492177,5458150.99997523
687729.821266849,5458148.11257824
687707.999983133,5458119.99997288
687676.999989124,5458085.50001614
687671.645815137,5458068.36657911
687659.812540573,5458030.49996908
687642.625032439,5457985.49996081
687639.059785808,5457973.96159697
687628.874950103,5457940.99999972
687625.437474169,5457903.00002116
687619.488468873,5457876.39158955
687611.687540458,5457841.50002625
687611.687547186,5457789.50003535
687618.464848948,5457779.39568494
687639.187526935,5457748.50001009
687690.812518758,5457724.49996399
687696.145992934,5457722.25428965
687756.124976469,5457696.99995861
687789.892409974,5457688.41761855
687797.437483025,5457686.49996031
687838.687511905,5457675.99994951
687880.893885516,5457650.00437558
687910.937505584,5457631.50002355
687965.937509233,5457600.50000468
687967.199297035,5457599.68827017
688014.124970159,5457569.49999044
688052.562667317,5457547.83513377
688069.125030782,5457538.49999129
688137.937492019,5457518.00004356
688146.58671607,5457515.14841647
688189.500007789,5457501.00000937
688236.646857274,5457473.1954869
688248.000000244,5457466.50004775
688296.125024034,5457431.999956
688318.780112038,5457416.36512489
688351.187500535,5457393.99998178
688388.999973869,5457356.50002452
688394.313569546,5457351.50807604
688440.624954624,5457308.00002705
688463.775268549,5457279.93911772
688471.562524455,5457270.50004133
688505.999949955,5457225.49995793
688518.245836657,5457197.00062814
688526.625046761,5457177.50003415
688547.250016211,5457132.50001349
688562.027191424,5457107.32115515
688571.312447358,5457091.49998005
688602.249970823,5457060.49998378
688625.452924024,5457030.68485071
688626.374971085,5457029.50004608
688653.875008957,5456985.00002673
688676.617285115,5456944.89081141
688681.374957615,5456936.49997842
688712.374964019,5456902.49995329
688743.312463512,5456892.00005136
688754.672996392,5456889.68657331
688760.499964375,5456888.49995962
688787.999959129,5456867.99997122
688812.062450773,5456840.50002308
688829.312466341,5456840.50004199
688835.195905388,5456840.500019
688849.937504456,5456840.49996147
688894.62495582,5456830.00004026
688922.1874826,5456809.50000108
688924.635762388,5456805.22665138
688935.937509379,5456785.50001164
688946.250011663,5456747.500004
688960.000035451,5456740.50004719
688982.179499814,5456737.48899083
689011.562494628,5456733.4999913
689059.749952431,5456733.4999974
689081.601555681,5456736.67839202
689107.875032824,5456740.49996569
689135.437514269,5456754.50001846
689169.812488523,5456767.99999344
689175.339066347,5456767.99999643
689200.750040304,5456768.00001038
689221.374983249,5456764.49998926
689248.93751217,5456764.50000808
689269.624107567,5456780.29701699
689276.437518831,5456785.499978
689293.62502624,5456798.99997279
689328.062527816,5456826.49997483
689340.390113212,5456848.73451799
689345.249998236,5456857.5000118
689379.624965587,5456895.49999377
689413.744452692,5456913.67501955
689431.250005789,5456923.00001377
689482.812479144,5456947.00002422
689504.674355197,5456954.80521324
689520.62500266,5456960.49996035
689555.062516026,5456988.50000533
689572.249970668,5457018.99996963
689574.239656719,5457021.99052757
689592.874955348,5457049.99995357
689627.250021797,5457088.00002841
689639.317119902,5457096.9751178
689654.812467865,5457108.50002386
689689.187487144,5457135.99998212
689711.056240176,5457165.335062
689720.124955516,5457177.49998224
689727.000014887,5457215.49997929
689720.125002312,5457243.00000812
689703.701007761,5457249.82557332
689696.062526539,5457253.00001077
689661.687523481,5457256.50001491
689627.249955087,5457243.00004051
689607.141373064,5457243.00002704
689596.312460607,5457243.00001988
689551.624956883,5457245.99996259
689507.405408749,5457243.24699768
689503.437449465,5457242.9999656
689486.249964413,5457263.50004342
689486.249961436,5457291.00003797
689503.437491818,5457318.49996465
689511.56142588,5457322.95502222
689534.437514228,5457335.49996869
689544.749944531,5457349.49995996
689565.375013829,5457401.00001124
689566.140778124,5457401.59120197
689610.062475229,5457435.49995469
689648.156323626,5457458.37476711
689661.687500062,5457466.50004928
689709.812536541,5457501.00000347
689733.316255191,5457509.29724012
689806.12495606,5457535.00004423
689828.135291514,5457540.594165
689847.437479605,5457545.4999878
689923.062524175,5457552.49996603
689927.113639146,5457552.74234281
689981.562536177,5457556.00000312
690019.374965661,5457576.49996794
690021.532082549,5457577.46817959
690057.249952444,5457593.4999805
690105.374947055,5457628.00000197
690105.652363761,5457629.53334511
690112.250003103,5457665.99999819
690112.250015723,5457703.50001287
690106.098291156,5457728.10682676
690105.37499247,5457731.00000951
690081.312494045,5457772.50004259
690057.250041567,5457803.50003478
690048.33263017,5457807.38339964
690026.250012632,5457816.99996205
689991.874956503,5457813.99998644
689957.500039942,5457803.49997786
689953.981893484,5457799.41851881
689936.812487464,5457779.50001726
689919.624993714,5457755.50001498
689895.562539889,5457741.50002329
689883.009912414,5457731.15364555
689874.937480473,5457724.5000257
689840.50003859,5457703.49998883
689801.614173282,5457733.52094546
689795.812480825,5457738.0000096
689764.875021225,5457776.00003524
689750.179681225,5457817.03992986
689747.687450486,5457824.00001329
689733.874958841,5457875.49996786
689730.437482301,5457902.99996829
689731.577223089,5457914.43876255
689733.874996733,5457937.49998622
689751.125025137,5457972.00003153
689767.177970061,5458006.63544532
689771.750036613,5458016.50002372
689785.500020001,5458064.99996962
689805.812067732,5458097.86860777
689813.000006811,5458109.50002581
689843.999973173,5458151.00001369
689870.388784507,5458173.14448094
689888.687469725,5458188.50003567
689947.187454641,5458213.00000943
689959.509016842,5458215.68834463
690009.062477184,5458226.49999123
690058.153254542,5458229.82816852
690060.687525498,5458229.99998302
690108.812478904,5458226.49997621
690157.550860597,5458220.30400078
690163.874983651,5458219.50003235
690205.124993724,5458213.00000202
690256.547067117,5458206.84694843
690263.625039541,5458206.00001343
690328.937545566,5458206.00001655
690356.380312369,5458204.53081819
690394.312478052,5458202.50005064
690452.749988835,5458199.00003831
690456.137594357,5458198.78470334
690507.812449223,5458195.49996291
690554.386754904,5458183.30603434
690559.374959329,5458182.000039
690593.812469122,5458157.49998717
690637.888696221,5458128.97068426
690662.562508608,5458113.00001
690712.464487274,5458063.15467287
690717.624999427,5458058.00001482
690769.249960377,5458037.49998675
690804.439507501,5458025.80062658
690841.437538181,5458013.50000014
690889.624968143,5457982.50004306
690892.9666665,5457981.06499062
690961.812468441,5457951.49996942
690984.855115104,5457941.80710383
691027.187451179,5457924.00004263
691072.652721616,5457894.86619794
691102.874986349,5457875.49995856
691159.086025964,5457844.83947812
691171.625044844,5457838.00002911
691230.124988339,5457807.00002295
691245.913864546,5457795.66719046
691327.091449505,5457737.4000441
691340.187491341,5457728.00004012
691388.374952082,5457689.99998385
691405.725379625,5457675.7755171
691464.00002566,5457627.99995775
691480.88072393,5457610.14832347
691525.937451691,5457562.50000698
691549.286916161,5457537.31090245
691567.187471148,5457518.00000172
691591.312487297,5457483.50004471
691607.268425932,5457456.34594994
691625.687503332,5457425.00001725
691629.125021486,5457383.99998492
691627.193076332,5457361.65951553
691622.250041816,5457304.49998674
691610.79682791,5457263.51847941
691605.062465749,5457243.00000687
691574.062523298,5457201.50003473
691553.002231056,5457184.89363375
691508.749977216,5457149.99999819
691498.437494664,5457112.00001715
691499.032371607,5457107.84672253
691505.312534731,5457063.99996895
691508.750016044,5457015.99998975
691510.669202825,5457008.74199085
691522.500023129,5456964.00002388
691538.724768794,5456912.86752241
691543.125026984,5456899.00003116
691560.312506614,5456847.00003436
691566.991092364,5456817.12859855
691574.062531718,5456785.49998297
691587.812493,5456736.99996557
691591.696009337,5456720.34291868
691598.187461225,5456692.49996844
691615.37500627,5456644.50002417
691618.907983181,5456624.45834965
691625.687462352,5456586.00001706
691635.999980064,5456533.99996952
691637.906482795,5456526.37398101
691649.750004006,5456478.99996746
691680.687527734,5456451.5000119
691688.267175564,5456445.4473022
691715.12500387,5456424.00004037
691749.499982183,5456410.50004572
691777.23899941,5456403.43916302
691790.749985285,5456399.99998177
691856.124977401,5456390.00001199
691875.901717125,5456388.32200139
691897.375039954,5456386.50003941
691938.687525356,5456410.50003323
691966.976188349,5456422.15838708
691979.937527343,5456427.50002965
692014.375011099,5456441.49999147
692062.724262091,5456447.59496662
692065.937545937,5456448.00003792
692110.687475677,5456434.50002333
692148.500003452,5456410.49998159
692151.862274338,5456406.58752929
692169.125010832,5456386.50001851
692186.312445116,5456358.99997906
692186.312534089,5456324.49998705
692183.742428516,5456318.51867075
692176.00001023,5456300.50002054
692186.312487746,5456276.50003328
692203.500013328,5456258.99995668
692209.347852457,5456229.91886607
692210.437506933,5456224.50004817
692217.312494159,5456162.99997738
692210.437499468,5456138.49999416
692207.942323422,5456131.88626383
692200.062500326,5456110.99996296
692179.437544533,5456101.00002665
692179.437488324,5456083.49997796
692196.624992949,5456073.50001157
692212.810002542,5456079.59868954
692213.874979212,5456079.99998375
692237.937520277,5456093.99998597
692262.000000136,5456114.50003869
692289.500014958,5456128.49995197
692297.617706518,5456130.94887484
692334.250036802,5456142.00001933
692385.812513767,5456155.9999997
692393.053339255,5456159.91912027
692423.687527808,5456176.49998085
692447.750028661,5456193.50002588
692475.953286009,5456215.27368526
692492.437531485,5456227.99996396
692526.874992908,5456252.00000162
692560.566871299,5456267.59291461
692564.687523543,5456269.49999117
692612.812538187,5456293.49995804
692653.314440581,5456303.0298303
692685.062502958,5456310.49997688
692740.124960391,5456334.50001786
692746.908810563,5456337.04476898
692805.43750745,5456359.00000679
692841.258093656,5456369.80624174
692850.18744823,5456372.50002057
692908.624988373,5456382.99997172
692939.1997107,5456389.34495017
692956.812488188,5456393.0000197
692980.87498015,5456399.99995798
693015.249995384,5456407.0000152
693037.047919023,5456406.99996914
693042.812523681,5456406.999957
693070.312452591,5456414.00001985
693094.375035776,5456386.50000183
693121.875008252,5456379.5000221
693122.737566539,5456379.58768587
693156.312486797,5456382.99998268
693180.375045422,5456390.00003756
693187.250040988,5456406.99999503
693182.317539391,5456429.24082024
693180.374957748,5456437.99998209
693163.187477553,5456454.99998511
693146.000011807,5456461.99996433
693125.312536128,5456472.50004099
693115.434036747,5456495.48973918
693114.999948404,5456496.49996914
693125.312466863,5456533.99996757
693149.437518292,5456565.00002018
693166.526192189,5456576.59959858
693180.375005391,5456586.00000281
693207.874970774,5456589.50002673
693238.874990233,5456586.00003878
693262.95083229,5456582.9358381
693266.375005362,5456582.50003383
693283.562470358,5456582.50000547
693307.62501407,5456571.99994935
693335.125000384,5456554.99998551
693344.295466339,5456536.43817501
693345.500041021,5456534.00001164
693372.999989124,5456527.49998999
693397.062484828,5456509.99996933
693417.687525868,5456499.99998639
693429.96161379,5456489.3123463
693445.249967398,5456476.00003596
693486.499954035,5456469.00000946
693524.179967768,5456465.80291257
693527.749951347,5456465.50000438
693610.312491338,5456465.50005055
693623.668427682,5456468.89971749
693637.812492357,5456472.49999814
693651.625010406,5456506.50002683
693630.937478137,5456544.49997631
693626.463293642,5456547.46469147
693599.999947168,5456565.0000131
693579.374986856,5456565.00002275
693538.071274362,5456588.57153414
693531.187509206,5456592.50001126
693507.125015023,5456616.99998045
693489.937465922,5456644.49998028
693473.193410222,5456663.37517418
693462.437531648,5456675.50002741
693434.874963501,5456675.49998085
693403.937525239,5456688.9999752
693386.651025743,5456703.24830296
693383.312532513,5456706.00004204
693386.750013083,5456743.99996142
693393.625001553,5456782.00000459
693394.619347303,5456800.80225028
693397.062472219,5456847.00005105
693400.499987553,5456871.50001245
693420.952825394,5456891.95280306
693428.000008945,5456898.99997284
693452.125002622,5456905.49999793
693486.499943809,5456898.99995823
693516.491347919,5456899.00003006
693520.874965572,5456899.0000406
693545.000014463,5456888.49996215
693582.812484967,5456874.99998346
693610.312491781,5456875.00000539
693611.891813217,5456875.09832917
693658.499964498,5456878.00001321
693686.00000402,5456888.50003209
693708.035070491,5456897.47427174
693720.374973533,5456902.49995559
693734.125047576,5456933.00003392
693751.374956456,5456960.50005249
693771.157292614,5456966.54261223
693785.749972253,5456970.99998073
693837.312459014,5456963.99999919
693867.08471945,5456950.63687809
